time, flightMode, statIgniter1, statIgniter2, statIgniter3, statIgniter4, statAccelerometer, statBarometer, statGPS, statSD, temperature, altitude, altitude_ft, speed, acceleration, gps_fix, latitude, longitude, pitch, yaw, roll, batt1_mV, batt2_mV, batt3_mV
1142.824, 1, 0, 0, , , 1, 1, , 1, 18.64, -0.5, -1.64, NaN, 0.99, 0, 0, 0, 4.93, 0.62, , , , 
1142.951, 1, 0, 0, , , 1, 1, , 1, 18.64, -0.53, -1.73, -0.22, 0.98, 0, 0, 0, 3.72, 2.33, , , , 
1143.094, 1, 0, 0, , , 1, 1, , 1, 18.65, -0.55, -1.81, -0.16, 0.98, 0, 0, 0, 4.41, 1.11, , , , 
1143.206, 1, 0, 0, , , 1, 1, , 1, 18.65, -0.57, -1.88, -0.19, 0.98, 0, 0, 0, 4.07, 1.71, , , , 
1143.351, 1, 0, 0, , , 1, 1, , 1, 18.65, -0.59, -1.93, -0.12, 0.98, 0, 0, 0, 3.98, 1.54, , , , 
1143.59, 1, 0, 0, , , 1, 1, , 1, 18.65, -0.6, -1.96, -0.04, 0.98, 0, 0, 0, 3.86, 1.54, , , , 
1143.703, 1, 0, 0, , , 1, 1, , 1, 18.66, -0.61, -2, -0.09, 0.98, 0, 0, 0, 3.91, 2.34, , , , 
1143.862, 1, 0, 0, , , 1, 1, , 1, 18.67, -0.62, -2.04, -0.07, 0.98, 0, 0, 0, 4.54, 2.19, , , , 
1143.99, 1, 0, 0, , , 1, 1, , 1, 18.67, -0.63, -2.06, -0.05, 0.98, 0, 0, 0, 5.45, 1.76, , , , 
1144.151, 1, 0, 0, , , 1, 1, , 1, 18.67, -0.63, -2.08, -0.03, 0.98, 0, 0, 0, 4.69, 2.96, , , , 
1144.278, 1, 0, 0, , , 1, 1, , 1, 18.67, -0.64, -2.09, -0.05, 0.98, 0, 0, 0, 6.55, 2.15, , , , 
1144.422, 1, 0, 0, , , 1, 1, , 1, 18.68, -0.64, -2.09, 0.02, 0.98, 0, 0, 0, 2.95, 2.81, , , , 
1144.551, 1, 0, 0, , , 1, 1, , 1, 18.68, -0.64, -2.09, 0.02, 0.98, 0, 0, 0, 4.76, 0.68, , , , 
1144.694, 1, 0, 0, , , 1, 1, , 1, 18.68, -0.63, -2.08, 0.04, 0.98, 0, 0, 0, 3.81, 1.54, , , , 
1144.822, 1, 0, 0, , , 1, 1, , 1, 18.68, -0.63, -2.08, -0.02, 0.98, 0, 0, 0, 3.59, 0.88, , , , 
1144.966, 1, 0, 0, , , 1, 1, , 1, 18.69, -0.64, -2.1, -0.06, 0.98, 0, 0, 0, 5.05, 1.59, , , , 
1145.094, 1, 0, 0, , , 1, 1, , 1, 18.69, -0.64, -2.11, -0.02, 0.98, 0, 0, 0, 3.89, 1.9, , , , 
1145.239, 1, 0, 0, , , 1, 1, , 1, 18.7, -0.65, -2.12, -0.04, 0.98, 0, 0, 0, 4.55, 1.63, , , , 
1145.35, 1, 0, 0, , , 1, 1, , 1, 18.7, -0.65, -2.12, 0.03, 0.98, 0, 0, 0, 4.31, 2.27, , , , 
1145.494, 1, 0, 0, , , 1, 1, , 1, 18.7, -0.64, -2.11, 0.04, 0.99, 0, 0, 0, 3.42, 0.93, , , , 
1145.622, 1, 0, 0, , , 1, 1, , 1, 18.71, -0.64, -2.12, -0.04, 0.98, 0, 0, 0, 4.27, 1.57, , , , 
1145.83, 1, 0, 0, , , 1, 1, , 1, 18.71, -0.65, -2.13, -0.04, 0.98, 0, 0, 0, 4.58, 1.71, , , , 
1146.007, 1, 0, 0, , , 1, 1, , 1, 18.71, -0.65, -2.13, 0, 0.98, 0, 0, 0, 3.85, 1.88, , , , 
1146.278, 1, 0, 0, , , 1, 1, , 1, 18.72, -0.66, -2.17, -0.04, 0.98, 0, 0, 0, 4.09, 1.51, , , , 
1146.407, 1, 0, 0, , , 1, 1, , 1, 18.72, -0.66, -2.17, -0.02, 0.98, 0, 0, 0, 4.23, 1.37, , , , 
1146.566, 1, 0, 0, , , 1, 1, , 1, 18.72, -0.67, -2.2, -0.06, 0.98, 0, 0, 0, 3.92, 1.59, , , , 
1147.222, 1, 0, 0, , , 1, 1, , 1, 18.74, -0.68, -2.24, -0.02, 0.98, 0, 0, 0, 3.24, 2.88, , , , 
1147.381, 1, 0, 0, , , 1, 1, , 1, 18.74, -0.69, -2.25, -0.04, 0.98, 0, 0, 0, 6.05, 1.65, , , , 
1147.494, 1, 0, 0, , , 1, 1, , 1, 18.75, -0.69, -2.27, -0.01, 0.99, 0, 0, 0, 5.53, 1.93, , , , 
1147.717, 1, 0, 0, , , 1, 1, , 1, 18.75, -0.69, -2.26, 0, 0.98, 0, 0, 0, 2.42, 3.37, , , , 
1147.91, 1, 0, 0, , , 1, 1, , 1, 18.75, -0.67, -2.21, 0.08, 0.98, 0, 0, 0, 3.58, 2.22, , , , 
1148.133, 1, 0, 0, , , 1, 1, , 1, 18.76, -0.67, -2.18, 0.02, 0.99, 0, 0, 0, 4.59, 0.4, , , , 
