time,altitude,pitch,roll,yaw,lat,lon,speed,acceleration,temperature,vibrations,landing_force,batt_check,igniter_check,gps_check,Pression
0.01,0.001,,0,4,46.7819152,-71.27958496,0.291,29.119,13.082,1.31,,0,0,0,978.651
0.02,0.01,,0,4,46.7819152,-71.27958495,1.36,106.89,13.082,2.073,,0,0,0,978.65
0.03,0.031,,0,4,46.7819152,-71.27958493,2.874,151.455,13.082,3.375,,0,0,0,978.648
0.04,0.067,,0,4,46.7819152,-71.2795849,4.348,147.502,13.082,1.587,,0,0,0,978.644
0.05,0.118,,0,4,46.7819152,-71.27958486,5.779,143.151,13.082,6.306,,0,0,0,978.638
0.06,0.182,,0,4,46.7819152,-71.27958479,7.19,141.183,13.081,6.462,,0,0,0,978.63
0.07,0.261,,0,4,46.7819152,-71.27958473,8.599,140.856,13.081,5.823,,0,0,0,978.621
0.08,0.354,,0,4,46.7819152,-71.27958463,10.003,140.529,13.08,9.197,,0,0,0,978.61
0.09,0.461,,0,4,46.7819152,-71.27958454,11.405,140.201,13.08,9.546,,0,0,0,978.597
0.1,0.582,,0,4,46.78191521,-71.27958442,12.803,139.871,13.079,1.236,,0,0,0,978.583
0.11,0.718,,0,4,46.78191521,-71.27958431,14.198,139.541,13.078,8.486,,0,0,0,978.567
0.12,0.866,,0,4,46.78191521,-71.27958416,15.592,139.51,13.077,7.913,,0,0,0,978.55
0.13,1.029,,0,4,46.78191521,-71.27958402,16.991,139.914,13.076,8.682,,0,0,0,978.531
0.14,1.206,,0,4,46.78191521,-71.27958386,18.394,140.322,13.075,7.14,,0,0,0,978.51
0.15,1.397,,0,4,46.78191521,-71.27958368,19.801,140.73,13.073,9.438,,0,0,0,978.488
0.16,1.602,,0,4,46.78191521,-71.27958349,21.211,141.138,13.072,6.75,,0,0,0,978.464
0.17,1.822,,0,4,46.78191521,-71.2795833,22.626,141.546,13.071,2.034,,0,0,0,978.438
0.18,2.055,,0,4,46.78191521,-71.27958308,24.045,141.954,13.069,9.737,,0,0,0,978.41
0.19,2.302,,0,4,46.78191522,-71.27958285,25.469,142.362,13.068,5.11,,0,0,0,978.381
0.2,2.564,,0,4,46.78191522,-71.27958262,26.896,142.77,13.066,5.509,,0,0,0,978.351
0.21,2.84,,0,4,46.78191522,-71.27958235,28.327,143.178,13.064,0.998,,0,0,0,978.318
0.22,3.131,,0,4,46.78191522,-71.27958209,29.762,143.586,13.062,1.04,,0,0,0,978.284
0.23,3.436,,0,4,46.78191522,-71.27958182,31.202,143.994,13.06,3.227,,0,0,0,978.249
0.24,3.755,,0,4,46.78191523,-71.27958152,32.645,144.402,13.058,8.84,,0,0,0,978.211
0.25,4.089,,0,4,46.78191523,-71.27958122,34.093,144.81,13.056,8.722,,0,0,0,978.172
0.26,4.437,,0,4,46.78191523,-71.2795809,35.545,145.219,13.054,6.832,,0,0,0,978.131
0.27,4.799,,0,4,46.78191523,-71.27958056,37,145.627,13.051,8.35,,0,0,0,978.089
0.28,5.177,,0,4,46.78191523,-71.27958022,38.46,146.036,13.049,4.649,,0,0,0,978.044
0.29,5.569,,0,4,46.78191524,-71.27957987,39.924,146.444,13.046,4.57,,0,0,0,977.998
0.3,5.975,,0,4,46.78191524,-71.27957949,41.392,146.853,13.044,3.409,,0,0,0,977.951
0.315,6.613,,0,4.001,46.78191524,-71.27957891,43.602,147.374,13.04,1.182,,1,0,0,977.876
0.338,7.631,,0,4.006,46.78191525,-71.27957797,46.933,148.175,13.033,3.828,,1,0,0,977.756
0.371,9.3,,0,4.021,46.78191526,-71.27957644,51.967,149.372,13.022,6.595,,1,0,0,977.561
0.421,12.087,,0,4.064,46.78191528,-71.27957387,59.506,151.058,13.004,3.413,,1,0,0,977.234
0.471,15.253,,0.013,4.135,46.7819153,-71.27957095,67.135,152.831,12.983,0.875,,1,1,1,976.863
0.521,18.802,,0.021,4.237,46.78191532,-71.27956766,74.853,154.586,12.96,5.788,,1,1,1,976.446
0.571,22.74,,0.08,4.37,46.78191534,-71.279564,82.658,156.319,12.935,4.846,,1,1,1,975.984
0.621,27.07,,0.047,4.535,46.78191537,-71.27955992,90.549,158.025,12.907,1.965,,1,1,1,975.477
0.671,31.797,,0.081,4.724,46.7819154,-71.27955543,98.525,159.703,12.876,3.135,,1,1,1,974.922
0.721,36.925,,0.005,4.929,46.78191544,-71.27955047,106.584,161.348,12.842,6.612,,1,1,1,974.321
0.771,42.457,,-0.049,5.142,46.78191547,-71.27954499,114.724,162.957,12.807,3.735,,1,1,1,973.672
0.821,48.399,,-0.049,5.35,46.78191552,-71.27953897,122.945,164.542,12.768,6.026,,1,1,1,972.975
0.871,54.754,,0.208,5.541,46.78191556,-71.27953236,131.244,166.115,12.727,1.928,,1,1,1,972.23
0.921,61.525,,0.248,5.698,46.78191561,-71.27952509,139.623,167.709,12.683,6.197,,1,1,1,971.436
0.971,68.718,,0.329,5.802,46.78191566,-71.27951715,148.105,169.789,12.636,7.386,,1,1,1,970.592
1.021,76.338,,0.321,5.839,46.78191572,-71.27950851,156.701,172.087,12.586,4.121,,1,1,1,969.698
1.071,84.391,,0.496,5.811,46.78191579,-71.27949914,165.41,174.371,12.534,8.05,,1,1,1,968.754
1.121,92.88,,0.533,5.722,46.78191586,-71.27948905,174.16,175.2,12.479,0.228,,1,1,1,967.758
1.171,101.807,,0.844,5.592,46.78191593,-71.27947829,182.92,175.405,12.421,4.961,,1,1,1,966.711
1.221,111.172,,0.638,5.458,46.78191601,-71.27946687,191.689,175.56,12.36,7.904,,1,1,1,965.613
1.271,120.976,,0.89,5.362,46.78191609,-71.27945487,200.448,175.307,12.296,4.89,,1,1,1,964.463
1.321,131.216,,0.951,5.34,46.78191617,-71.27944233,209.185,174.825,12.23,4.706,,1,1,1,963.262
1.371,141.893,,0.938,5.408,46.78191626,-71.27942925,217.895,174.214,12.16,8.746,,1,1,1,962.01
1.421,153.005,,1.198,5.545,46.78191635,-71.27941564,226.57,173.447,12.088,2.44,,1,1,1,960.707
1.471,164.549,,1.749,5.708,46.78191645,-71.27940145,235.204,172.56,12.013,9.596,,1,1,1,959.353
1.521,176.524,,1.677,5.832,46.78191655,-71.27938662,243.791,171.608,11.935,9.124,,1,1,1,957.948
1.571,188.927,,1.728,5.864,46.78191666,-71.27937113,252.33,170.682,11.854,4.022,,1,1,1,956.493
1.621,201.756,,1.444,5.806,46.78191677,-71.27935493,260.8,169.314,11.771,5.923,,1,1,1,954.989
1.671,215.005,,1.71,5.715,46.78191688,-71.27933807,269.179,167.487,11.685,8.234,,1,1,1,953.491
1.721,228.671,,2.249,5.662,46.781917,-71.27932062,277.464,165.488,11.596,1.859,,1,1,1,951.964
1.771,242.749,,2.368,5.685,46.78191713,-71.27930264,285.641,163.188,11.505,0.151,,1,1,1,950.391
1.821,257.233,,2.963,5.759,46.78191725,-71.27928417,293.694,160.537,11.41,5.431,,1,1,1,948.773
1.871,272.116,,3.49,5.823,46.78191738,-71.27926511,301.606,157.559,11.314,5.777,,1,1,1,947.11
1.921,287.39,,3.92,5.842,46.78191752,-71.27924544,309.383,155.437,11.214,8.019,,1,1,1,945.403
1.971,303.052,,4.014,5.818,46.78191766,-71.27922515,317.067,153.665,11.113,2.685,,1,1,1,943.654
2.021,319.095,,5.563,5.781,46.7819178,-71.27920429,324.664,151.857,11.008,7.921,,1,1,1,941.861
2.071,335.516,,5.706,5.78,46.78191795,-71.2791829,332.166,149.83,10.902,0.77,,1,1,1,940.026
2.121,352.309,,6.055,5.852,46.7819181,-71.27916105,339.559,147.528,10.792,2.898,,1,1,1,938.15
2.171,369.469,,7.034,5.937,46.78191825,-71.27913864,346.831,145.093,10.681,6.927,,1,1,1,936.233
2.221,386.99,,8.186,5.938,46.78191841,-71.27911567,353.991,143.003,10.567,6.05,,1,1,1,934.276
2.271,404.866,,9.192,5.864,46.78191857,-71.27909211,361.063,141.317,10.451,9.311,,1,1,1,932.278
2.321,423.094,,10.399,5.84,46.78191874,-71.27906806,368.051,139.505,10.332,9.121,,1,1,1,930.242
2.371,441.669,,10.819,5.931,46.78191891,-71.27904354,374.943,137.529,10.212,7.28,,1,1,1,928.166
2.421,460.586,,11.546,6.022,46.78191908,-71.27901852,381.733,135.56,10.089,7.968,,1,1,1,926.053
2.471,479.84,,12.481,5.981,46.78191925,-71.27899296,388.428,133.746,9.964,2.755,,1,1,1,923.902
2.521,499.428,,13.437,5.869,46.78191943,-71.27896688,395.091,133.1,9.836,3.211,,1,1,1,921.713
2.571,519.35,,13.855,5.857,46.78191962,-71.27894033,401.763,133.166,9.707,7.659,,1,1,1,919.488
2.621,539.605,,14.588,5.944,46.7819198,-71.27891329,408.436,133.207,9.575,1.818,,1,1,1,917.225
2.671,560.193,,15.428,5.983,46.78191999,-71.27888573,415.111,133.28,9.441,0.418,,1,1,1,914.924
2.721,581.116,,16.344,5.944,46.78192018,-71.27885767,421.784,133.274,9.305,2.654,,1,1,1,912.587
2.771,602.344,,17.044,5.91,46.78192038,-71.27882915,427.351,111.091,9.167,3.558,,1,1,1,910.215
2.821,623.763,,17.449,5.929,46.78192058,-71.27880035,429.4,40.872,9.028,2.64,,1,1,1,907.822
2.871,645.224,,17.46,5.977,46.78192078,-71.27877147,429.024,-7.445,8.889,8.604,,1,1,1,905.424
# Burnout
2.921,666.637,,17.935,5.949,46.78192098,-71.27874261,427.51,-30.088,8.749,2.059,,1,1,1,903.032
2.971,687.955,,18.589,5.938,46.78192118,-71.27871384,425.216,-45.636,8.611,9.604,,1,1,1,900.65
